neighborhood,address,city,state,zip,days,agent,office,price,datetime
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
forest shadows,4503 Clairfield Lane,Humble,TX,77338,71,Rick Raymor,RE/MAX Professional Group     ,264500,2019-05-18 04:05:32.998416
